timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-29T14:18:10,Qwen_Qwen3-14B_lmul_fp8_output_length_variance,ca8e451a-c573-4513-b439-d557cef21f16,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,113.16286424011923,0.0036713044841252,3.244266136932601e-05,40.48888888888889,195.968730394322,70.0,0.0012318744348184,0.0043756901672153,0.0021214974698086,0.0077290620718425,,,,,,Linux-5.15.0-140-generic-x86_64-with-glibc2.35,3.10.18,3.0.2,64,AMD EPYC 7532 32-Core Processor,1,1 x NVIDIA A100-SXM4-80GB,,,1007.735034942627,machine,N,1.0
2025-06-29T14:19:15,Qwen_Qwen3-14B_lmul_fp8_linguistic_tasks,a587fe23-2244-4580-a0a7-212fde1ea62e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,63.58648628601805,0.0017350944016336,2.7287156485248165e-05,43.8,106.78915672679618,70.0,0.0007494814799729,0.0017160988728761,0.0011872499663796,0.0036528303192287,,,,,,Linux-5.15.0-140-generic-x86_64-with-glibc2.35,3.10.18,3.0.2,64,AMD EPYC 7532 32-Core Processor,1,1 x NVIDIA A100-SXM4-80GB,,,1007.735034942627,machine,N,1.0
2025-06-29T14:22:04,Qwen_Qwen3-14B_lmul_fp8_hallucination_resistance,26f4d34f-2413-4e22-b92f-22a4e204f8a5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,168.33461767807603,0.0047922523121186,2.8468608407590668e-05,41.5,139.35205361382674,70.0,0.0019149589626582,0.0050190367930085,0.0031549564803724,0.0100889522360392,,,,,,Linux-5.15.0-140-generic-x86_64-with-glibc2.35,3.10.18,3.0.2,64,AMD EPYC 7532 32-Core Processor,1,1 x NVIDIA A100-SXM4-80GB,,,1007.735034942627,machine,N,1.0
2025-06-29T14:22:11,Qwen_Qwen3-14B_lmul_fp8_strawberry_test,d0c3a81b-12e4-46d4-88d0-daa9c9ddad13,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.21855605696328,0.0001207443221522,2.313749643278729e-05,40.0,76.94468973931396,70.0,5.209752049866236e-05,0.0001109356443009,9.116540815254364e-05,0.0002541985729521,,,,,,Linux-5.15.0-140-generic-x86_64-with-glibc2.35,3.10.18,3.0.2,64,AMD EPYC 7532 32-Core Processor,1,1 x NVIDIA A100-SXM4-80GB,,,1007.735034942627,machine,N,1.0
2025-06-29T14:25:54,Qwen_Qwen3-14B_lmul_fp8_code_challenges_basic,e6fa5628-7423-4239-91f1-656269492956,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,222.04745086398907,0.0080481564874044,3.62452100039383e-05,40.0,215.1712916868432,70.0,0.0024984246990343,0.0102751362756663,0.0041699263672033,0.0169434873419041,,,,,,Linux-5.15.0-140-generic-x86_64-with-glibc2.35,3.10.18,3.0.2,64,AMD EPYC 7532 32-Core Processor,1,1 x NVIDIA A100-SXM4-80GB,,,1007.735034942627,machine,N,1.0
2025-06-29T14:29:42,Qwen_Qwen3-14B_lmul_fp8_code_challenges_advanced,0a903883-1fa5-4db6-849c-d9d88083a372,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,226.12973983492705,0.0086454194218501,3.823212032243616e-05,0.0,83.32615184088112,70.0,0.0025649338456733,0.0111047674949134,0.0045311816527818,0.0182008829933686,,,,,,Linux-5.15.0-140-generic-x86_64-with-glibc2.35,3.10.18,3.0.2,64,AMD EPYC 7532 32-Core Processor,1,1 x NVIDIA A100-SXM4-80GB,,,1007.735034942627,machine,N,1.0
2025-06-29T14:31:08,Qwen_Qwen3-14B_lmul_fp8_format_adherence,77bd20a5-ab09-44eb-91f9-b03fb6488b98,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,84.72133674495853,0.0024860385725259,2.934371278878428e-05,40.04,139.24567140193773,70.0,0.0009975535866457,0.0026479987850649,0.0015882130441333,0.005233765415844,,,,,,Linux-5.15.0-140-generic-x86_64-with-glibc2.35,3.10.18,3.0.2,64,AMD EPYC 7532 32-Core Processor,1,1 x NVIDIA A100-SXM4-80GB,,,1007.735034942627,machine,N,1.0
2025-06-29T14:31:41,Qwen_Qwen3-14B_lmul_fp8_reasoning_tasks,034f481e-1a54-4b16-9f34-70108ab643c8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,32.257793768076226,0.0008360358928559,2.5917330207600476e-05,40.66666666666666,91.73145080724694,70.0,0.0003521606331846,0.0008101973148271,0.0005977176158954,0.0017600755639071,,,,,,Linux-5.15.0-140-generic-x86_64-with-glibc2.35,3.10.18,3.0.2,64,AMD EPYC 7532 32-Core Processor,1,1 x NVIDIA A100-SXM4-80GB,,,1007.735034942627,machine,N,1.0
2025-06-29T14:33:49,Qwen_Qwen3-14B_lmul_fp8_bias_and_safety,f11630c0-9b39-4285-8ec2-523c44db857e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,126.22766148485243,0.0036427335302709417,2.8858441069258635e-05,41.142857142857146,138.97222509890366,70.0,0.0015480728445503263,0.0037549235594980246,0.0023659162912588933,0.007668912695307245,,,,,,Linux-5.15.0-140-generic-x86_64-with-glibc2.35,3.10.18,3.0.2,64,AMD EPYC 7532 32-Core Processor,1,1 x NVIDIA A100-SXM4-80GB,,,1007.735034942627,machine,N,1.0
